Attack Type,Feature,Normal Mean,Normal Std,Attack Mean,Attack Std,Mean Difference,P-value,Significant
Injection,No.,4031818.076182453,2293980.976310106,4124916.66,2232596.83564428,93098.58381754719,0.70737568885384,False
Injection,sqNum,2340.5780478998677,2703.1726814199014,6934.04,4875.771139051139,4593.461952100132,2.5300121862907837e-26,True
Injection,stNum,51.08340353833193,62.601423917690404,1021.36,595.0664935258678,970.2765964616681,3.7490262000023974e-69,True
Injection,Epoch Time,1702753514.3765562,476.98050468999116,1702753533.7388277,464.2236045176977,19.362271547317505,0.7073756878694181,False
Injection,Time,1702753514.3765562,476.98050468999116,1702753533.7388277,464.2236045176977,19.362271547317505,0.7073756878694181,False
Injection,Length,154.7062221687327,13.980813802765972,147.91,2.040474296220208,6.796222168732697,0.8481286101641439,False
Injection,allData,1.4005295462751233,0.8004450547965434,2.0,1.005037815259212,0.5994704537248767,1.4072316981487028e-13,True
Injection,confRev,1.0,0.0,1.0,0.0,0.0,1.0,False
Injection,Interface id,0.0,0.0,0.0,0.0,0.0,1.0,False
Masquerade,No.,3280555.844705528,1896556.9703675946,3084893.04,1663826.4696569135,195662.80470552808,0.29808224638665703,False
Masquerade,sqNum,48.129537580960985,46.01218546057934,1.5,1.1236664374387368,46.629537580960985,1.0127394752078817e-53,True
Masquerade,Epoch Time,1703296615.6743085,392.3838564891867,1703296575.18675,344.1204132871057,40.48755860328674,0.2980702236835767,False
Masquerade,Time,1703296615.6743085,392.3838564891867,1703296575.18675,344.1204132871057,40.48755860328674,0.2980702236835767,False
Masquerade,stNum,50.28046392528995,44.93891903612556,18.96,8.809911773368986,31.32046392528995,3.2229155231826025e-14,True
Masquerade,Length,151.76668172917607,13.769623428986403,145.34,2.2883984960595645,6.426681729176067,0.019961473205693213,False
Masquerade,allData,1.4338002711251694,0.8243301643268607,2.04,1.0042334631373564,0.6061997288748306,4.3126506724983164e-13,True
Masquerade,confRev,1.0,0.0,1.0,0.0,0.0,1.0,False
Masquerade,Interface id,0.0,0.0,0.0,0.0,0.0,1.0,False
Poisoning,No.,1814331.60066335,1046686.9538077379,753871.4865,108516.33157404908,1060460.1141633498,1.049038534572104e-270,True
Poisoning,Epoch Time,1702927395.307449,217.63683114721925,1702927174.8081806,22.472202500866732,220.49926853179932,1.0495255092190183e-270,True
Poisoning,Time,1702927395.307449,217.63683114721925,1702927174.8081806,22.472202500866732,220.49926853179932,1.0495255092190183e-270,True
Poisoning,sqNum,407.30845771144277,264.09588299110135,499.5,288.74718607933545,92.19154228855723,1.6980945014278113e-28,True
Poisoning,Length,150.73366500829187,12.818796503423037,167.872,0.3341733620711846,17.13833499170815,0.0,True
Poisoning,stNum,27.25804311774461,42.88603608471937,41.0,0.0,13.74195688225539,7.310598101913854e-218,True
Poisoning,allData,1.5001658374792703,0.8662648000138022,1.0,0.0,0.5001658374792703,5.169586856683853e-130,True
Poisoning,bit-string,80.0,0.0,80.0,0.0,0.0,1.0,False
Poisoning,confRev,1.0,0.0,1.0,0.0,0.0,1.0,False
Poisoning,Interface id,0.0,0.0,0.0,0.0,0.0,1.0,False
Replay,No.,4316423.300350175,2465790.2817829833,4361075.46,2445366.7313185446,44652.15964982472,0.8792487074726856,False
Replay,sqNum,41.632516258129066,52.129360300552484,0.0,0.0,41.632516258129066,1.3052770109506374e-61,True
Replay,stNum,111.67053526763382,51.79063012635551,73.56,58.92270574681082,38.11053526763382,6.851991404582481e-08,True
Replay,Epoch Time,1702899393.742498,511.2893250979299,1702899403.0099301,507.0527250299475,9.26743221282959,0.8792487074538168,False
Replay,Time,1702899393.742498,511.2893250979299,1702899403.0099301,507.0527250299475,9.26743221282959,0.8792487074538168,False
Replay,Length,154.24812406203102,14.31044158912302,145.35,2.3841861157098103,8.89812406203103,1.3889499238231737e-05,True
Replay,allData,1.3771885942971487,0.7824111452875254,2.0,1.005037815259212,0.6228114057028513,3.5015264502211826e-15,True
Replay,confRev,1.0,0.0,1.0,0.0,0.0,1.0,False
Replay,Interface id,0.0,0.0,0.0,0.0,0.0,1.0,False
