Attack Type,Feature,Normal Mean,Normal Std,Attack Mean,Attack Std,Mean Difference,P-value,Significant (p<0.01)
Injection,sqNum,2340.5780478998677,2703.1726814199014,6934.04,4875.771139051139,4593.461952100132,2.5300121862907837e-26,True
Injection,stNum,51.08340353833193,62.601423917690404,1021.36,595.0664935258679,970.2765964616681,3.7490262000023974e-69,True
Injection,timeAllowedtoLive,2430.809965098086,1397.6883319247931,3000.0,1005.037815259212,569.1900349019138,0.00021573495653765687,True
Injection,Length,154.7062221687327,13.980813802765972,147.91,2.040474296220208,6.796222168732697,0.8481286101641439,False
Injection,boolean_1,0.0,0.0,1.0,0.0,1.0,0.0,True
Injection,boolean_2,0.0,0.0,0.0,0.0,0.0,1.0,False
Injection,boolean_3,0.0,0.0,0.0,0.0,0.0,1.0,False
Masquerade,timeAllowedtoLive,2513.6556710347945,1365.4353207217168,537.52,871.4103798446574,1976.1356710347945,2.349617925422968e-43,True
Masquerade,sqNum,48.129537580960985,46.01218546057934,1.5,1.1236664374387368,46.629537580960985,1.0127394752078817e-53,True
Masquerade,stNum,50.28046392528995,44.93891903612557,18.96,8.809911773368986,31.32046392528995,3.2229155231826025e-14,True
Masquerade,Length,151.76668172917607,13.769623428986401,145.34,2.2883984960595645,6.426681729176067,0.019961473205693213,False
Masquerade,boolean_1,0.04194260485651214,0.20048016167619895,1.0,0.0,0.9580573951434879,0.0,True
Masquerade,boolean_2,0.0,0.0,0.0,0.0,0.0,1.0,False
Masquerade,boolean_3,0.0,0.0,0.0,0.0,0.0,1.0,False
Poisoning,timeAllowedtoLive,3000.3316749585406,1000.1658237305155,4000.0,0.0,999.6683250414594,0.0,True
Poisoning,sqNum,407.30845771144277,264.09588299110135,499.5,288.74718607933545,92.19154228855723,1.6980945014278113e-28,True
Poisoning,Length,150.73366500829187,12.818796503423037,167.872,0.3341733620711846,17.13833499170815,0.0,True
Poisoning,stNum,27.25804311774461,42.88603608471937,41.0,0.0,13.74195688225539,7.310598101913854e-218,True
Poisoning,bitstring_numeric,80.0,0.0,80.0,0.0,0.0,1.0,False
Replay,timeAllowedtoLive,2197.3306653326663,1472.4044376161921,10.0,2.010075630518424,2187.3306653326663,6.758730439546376e-65,True
Replay,sqNum,41.632516258129066,52.129360300552484,0.0,0.0,41.632516258129066,1.3052770109506374e-61,True
Replay,stNum,111.67053526763382,51.79063012635551,73.56,58.922705746810806,38.11053526763382,6.851991404582481e-08,True
Replay,Length,154.24812406203102,14.310441589123018,145.35,2.3841861157098108,8.89812406203103,1.3889499238231737e-05,True
Replay,boolean_1,0.051370994383878425,0.22077152489911414,1.0,0.0,0.9486290056161216,0.0,True
Replay,boolean_2,0.0,0.0,0.0,0.0,0.0,1.0,False
Replay,boolean_3,0.0,0.0,0.0,0.0,0.0,1.0,False
