,Importance
heartbeat_interval_error,0.1818184530992699
ttl_margin,0.14200561334642028
inter_arrival,0.127205377942909
msg_rate,0.12049867100531869
byte_rate,0.09830163893251319
Time delta from previous displayed frame,0.043089329298133194
time_since_last_event,0.04192055098182139
event_id,0.027936238872560016
heartbeat_within_tol,0.025555957667547348
msgs_since_last_event,0.021449654396995775
stNum_delta,0.020307457896465698
boolean_1,0.01804433176646419
stNum,0.01416343330306398
event_msg_rank,0.011795947287110052
Time since reference or first frame,0.011708269269665707
Frame length on the wire,0.009864333069586449
timeAllowedtoLive,0.008141286951226026
stNum_jump_gt1,0.007543683961285385
Length,0.007442323982512506
sqNum,0.006952380435689607
status_change_violation_on_heartbeat,0.006938225220221758
sqNum_delta,0.006182495697627487
jitter_rolling_std,0.006003977717668588
Frame length stored into the capture file,0.005083340456801171
base_time,0.004928851592460374
Epoch Time,0.0043785772579303175
ttl_half,0.004359734202573743
event_rate_spike,0.0034487307229529736
ttl_violation,0.0018924201366273612
stNum_change,0.0015739958166466614
status_bit_change,0.0012968014580856434
t_change,0.001193845154694216
sqNum_jump,0.0010649225776455944
sq_reset_violation,0.0009910335192883154
length_delta,0.0009519153568343572
sq_reset_on_st_change,0.0009036908559612039
Time delta from previous captured frame,0.0008986785662470441
sq_inc_expected,0.0008709211319690023
st_change,0.0004990966624819298
sq_reset_expected,0.00045634940621893825
sq_reset_without_st_change,0.00022911534584733726
status_change_missing_on_event,8.778825627563389e-05
sq_inc_violation_when_no_event,2.055942038201078e-05
